a1:above;1.4,-0.8,0.0,1.2,0.0,1.0,0.0;on;1.47,-0.5,0.0,1.4,0.0,0.55,0.0
a2:above;1.4,-0.8,0.0,1.2,0.0,1.0,0.0;on;1.42,-0.38,0.0,1.15,0.0,0.72,0.0
a3:above;1.4,-0.8,0.0,1.2,0.0,1.0,0.0;on;1.37,-0.29,0.0,0.95,0.0,0.76,0.0
a4:above;1.4,-0.8,0.0,1.2,0.0,1.0,0.0;on;1.33,-0.2,0.0,0.75,0.0,0.82,0.0
a5:above;1.3,-0.3,0.0,0.6,0.0,1.0,0.0;on;1.29,0.18,0.0,0.0,0.0,1.15,0.0
a6:above;1.3,-0.3,0.0,0.6,0.0,1.0,0.0;on;1.26,0.2,0.0,0.0,0.0,0.95,0.0
a7:above;1.3,0.0,0.0,0.0,0.0,1.0,0.0;on;1.24,0.25,0.0,0.0,0.0,0.65,0.0
a8:above;1.3,0.0,0.0,0.0,0.0,0.0,0.0;on;1.22,0.4,0.0,0.0,0.0,0.1,0.0

b1:above;1.4,-1.0,0.0,1.6,0.0,1.0,0.0;on;1.39,-0.5,0.0,1.45,0.0,0.55,0.0
b2:above;1.34,-0.8,0.0,1.3,0.0,1.0,0.0;on;1.35,-0.42,0.0,1.28,0.0,0.63,0.0
b3:above;1.27,-0.8,0.0,1.3,0.0,1.0,0.0;on;1.31,-0.35,0.0,1.1,0.0,0.7,0.0
b4:above;1.27,-0.8,0.0,1.1,0.0,1.0,0.0;on;1.27,-0.31,0.0,1.0,0.0,0.66,0.0
b5:above;1.2,-0.5,0.0,0.8,0.0,0.9,0.0;on;1.24,-0.08,0.0,0.5,0.0,0.98,0.0
b6:above;1.18,-0.5,0.0,0.8,0.0,0.9,0.0;on;1.21,0.0,0.0,0.4,0.0,0.77,0.0
b7:above;1.18,0.0,0.0,0.0,0.0,0.7,0.0;on;1.19,0.22,0.0,0.0,0.0,0.8,0.0
b8:above;1.18,0.0,0.0,0.0,0.0,0.7,0.0;on;1.17,0.34,0.0,0.0,0.0,0.3,0.0

c1:above;1.32,-0.8,0.0,1.5,0.0,0.9,0.0;on;1.32,-0.51,0.0,1.5,0.0,0.55,0.0
c2:above;1.32,-0.8,0.0,1.3,0.0,1.0,0.0;on;1.27,-0.47,0.0,1.4,0.0,0.55,0.0
c3:above;1.27,-0.8,0.0,1.3,0.0,1.0,0.0;on;1.24,-0.4,0.0,1.2,0.0,0.67,0.0
c4:above;1.24,-0.8,0.0,1.1,0.0,1.0,0.0;on;1.21,-0.33,0.0,1.07,0.0,0.65,0.0
c5:above;1.21,-0.8,0.0,1.1,0.0,1.0,0.0;on;1.18,-0.24,0.0,0.85,0.0,0.75,0.0
c6:above;1.21,-0.8,0.0,1.1,0.0,1.0,0.0;on;1.15,0.22,0.0,-0.1,0.0,1.2,0.0
c7:above;1.2,-0.8,0.0,1.1,0.0,1.0,0.0;on;1.13,0.22,0.0,0.0,0.0,0.88,0.0
c8:above;1.12,0.0,0.0,0.0,0.0,1.0,0.0;on;1.12,0.27,0.0,0.0,0.0,0.56,0.0

d1:above;1.2,-0.8,0.0,1.5,0.0,1.5,0.0;on;1.24,-0.52,0.0,1.5,0.0,0.65,0.0
d2:above;1.2,-0.8,0.0,1.5,0.0,0.9,0.0;on;1.2,-0.52,0.0,1.5,0.0,0.5,0.0
d3:above;1.2,-0.8,0.0,1.5,0.0,0.7,0.0;on;1.16,-0.52,0.0,1.5,0.0,0.35,0.0
