121,99
247,99
372,101
495,103
621,104
742,106
867,108
991,109
119,221
247,225
373,228
494,233
621,233
744,235
863,238
987,239
121,352
248,353
372,356
500,357
620,357
744,359
864,358
986,359
122,479
250,480
375,481
498,479
624,484
745,483
864,483
983,484
127,599
250,603
376,604
500,600
622,600
740,603
863,603
984,606
127,721
254,721
378,723
501,720
620,722
739,721
860,724
979,722
132,842
254,843
378,844
496,838
619,840
743,844
856,839
977,840
134,961
256,960
379,964
497,959
618,960
738,961
856,959
973,960
