57,35
182,39
308,41
429,42
555,44
681,47
804,46
927,47
1051,47
58,164
184,165
311,169
431,170
557,172
681,173
803,175
925,174
1048,175
61,289
186,292
310,293
434,297
557,295
681,299
803,299
923,299
1046,300
62,414
187,415
436,420
560,421
681,422
802,423
923,424
1043,423
61,537
185,541
311,542
437,542
560,542
681,543
802,541
921,544
1042,545
66,659
190,660
314,660
437,660
560,660
680,660
800,660
919,661
1038,662
70,780
191,781
315,780
437,780
560,780
680,780
798,779
916,780
1036,780
72,902
193,901
316,900
437,900
558,900
678,900
796,897
916,899
1035,900
76,1016
196,1018
318,1017
437,1017
559,1016
677,1016
796,1016
913,1017
1031,1018
