a1:above;;on;
a2:above;;on;
a3:above;;on;
a4:above;;on;
a5:above;;on;
a6:above;;on;
a7:above;;on;
a8:above;;on;
b1:above;;on;
b2:above;;on;
b3:above;;on;
b4:above;;on;
b5:above;;on;
b6:above;;on;
b7:above;;on;
b8:above;;on;

c1:above;1.32,-0.8,0.0,1.5,0.0,0.9,0.0;on;1.32,-0.51,0.0,1.5,0.0,0.55,0.0
c2:above;;on;
c3:above;;on;
c4:above;;on;
c5:above;;on;
c6:above;;on;
c7:above;;on;
c8:above;1.12,0.0,0.0,0.0,0.0,1.2,0.0;on;1.11,0.27,0.0,0.0,0.0,0.56,0.0

d1:above;1.2,-0.8,0.0,1.5,0.0,0.9,0.0;on;1.24,-0.5,0.0,1.5,0.0,0.62,0.0
d2:above;1.2,-0.8,0.0,1.5,0.0,0.9,0.0;on;1.2,-0.5,0.0,1.5,0.0,0.47,0.0
d3:above;1.2,-0.8,0.0,1.5,0.0,0.9,0.0;on;1.16,-0.5,0.0,1.5,0.0,0.28,0.0
d4:above;1.12,-0.2,0.0,0.5,0.0,1.2,0.0;on;1.11,-0.07,0.0,0.5,0.0,1.02,0.0
d5:above;1.12,-0.2,0.0,0.5,0.0,1.2,0.0;on;1.09,-0.06,0.0,0.5,0.0,0.83,0.0
d6:above;1.09,0.0,0.0,0.0,0.0,1.2,0.0;on;1.09,0.18,0.0,0.0,0.0,1.18,0.0
d7:above;1.09,0.0,0.0,0.0,0.0,1.2,0.0;on;1.07,0.2,0.0,0.0,0.0,0.9,0.0
d8:above;1.09,0.0,0.0,0.0,0.0,1.2,0.0;on;1.05,0.25,0.0,0.0,0.0,0.65,0.0
e1:above;1.1,-0.8,0.0,1.5,0.0,0.9,0.0;on;1.15,-0.5,0.0,1.5,0.0,0.7,0.0
e2:above;1.1,-0.8,0.0,1.5,0.0,0.9,0.0;on;1.12,-0.5,0.0,1.5,0.0,0.5,0.0
e3:above;1.1,-0.8,0.0,1.5,0.0,0.9,0.0;on;1.08,-0.5,0.0,1.5,0.0,0.5,0.0
e4:above;1.1,-0.8,0.0,1.5,0.0,0.9,0.0;on;1.06,-0.47,0.0,1.5,0.0,0.1,0.0
e5:above;1.05,-0.03,0.0,0.4,0.0,1.2,0.0;on;1.04,-0.03,0.0,0.4,0.0,1.18,0.0
e6:above;1.05,-0.03,0.0,0.4,0.0,1.2,0.0;on;1.04,-0.03,0.0,0.4,0.0,1.0,0.0
e7:above;1.05,-0.03,0.0,0.4,0.0,1.2,0.0;on;1.01,0.0,0.0,0.4,0.0,0.77,0.0
e8:above;1.05,0.0,0.0,0.0,0.0,1.2,0.0;on;1.0,0.24,0.0,0.0,0.0,0.73,0.0
f1:above;1.0,-0.7,0.0,1.5,0.0,0.5,0.0;on;1.03,-0.5,0.0,1.5,0.0,0.79,0.0
f2:above;1.0,-0.7,0.0,1.5,0.0,0.5,0.0;on;1.01,-0.5,0.0,1.5,0.0,0.6,0.0
f3:above;1.0,-0.7,0.0,1.5,0.0,0.5,0.0;on;1.01,-0.5,0.0,1.5,0.0,0.4,0.0
f4:above;1.0,-0.7,0.0,1.5,0.0,0.5,0.0;on;0.99,-0.4,0.0,1.2,0.0,0.65,0.0
f5:above;1.0,-0.7,0.0,1.5,0.0,0.5,0.0;on;0.97,-0.37,0.0,1.2,0.0,0.4,0.0
f6:above;0.96,0.0,0.0,0.0,0.0,1.6,0.0;on;0.96,0.17,0.0,0.0,0.0,1.2,0.0
f7:above;0.96,0.0,0.0,0.0,0.0,1.6,0.0;on;0.95,0.17,0.0,0.0,0.0,1.05,0.0
f8:above;0.95,-0.45,0.0,0.8,0.0,1.0,0.0;on;0.93,0.24,0.0,0.0,0.0,0.8,0.0
g1:above;0.93,-0.7,0.0,1.5,0.0,0.5,0.0;on;0.93,-0.5,0.0,1.5,0.0,0.79,0.0
g2:above;0.93,-0.7,0.0,1.5,0.0,0.5,0.0;on;0.93,-0.5,0.0,1.5,0.0,0.6,0.0
g3:above;0.93,-0.7,0.0,1.5,0.0,0.5,0.0;on;0.91,-0.5,0.0,1.5,0.0,0.4,0.0
g4:above;0.93,-0.7,0.0,1.5,0.0,0.5,0.0;on;0.9,-0.4,0.0,1.2,0.0,0.7,0.0
g5:above;0.93,-0.7,0.0,1.5,0.0,0.5,0.0;on;0.9,-0.38,0.0,1.2,0.0,0.45,0.0
g6:above;0.9,-0.45,0.0,0.8,0.0,1.0,0.0;on;0.89,-0.21,0.0,0.0,0.0,0.7,0.0
g7:above;0.9,-0.45,0.0,0.8,0.0,1.0,0.0;on;0.88,0.19,0.0,0.0,0.0,1.1,0.0
g8:above;0.9,-0.45,0.0,0.8,0.0,1.0,0.0;on;0.88,0.22,0.0,0.0,0.0,0.7,0.0
h1:above;0.83,-0.7,0.0,1.5,0.0,0.5,0.0;on;0.81,-0.5,0.0,1.5,0.0,0.79,0.0
h2:above;0.83,-0.7,0.0,1.5,0.0,0.5,0.0;on;0.81,-0.5,0.0,1.5,0.0,0.65,0.0
h3:above;0.83,-0.7,0.0,1.5,0.0,0.5,0.0;on;0.81,-0.5,0.0,1.5,0.0,0.5,0.0
h4:above;0.83,-0.45,0.0,0.9,0.0,1.0,0.0;on;0.81,-0.3,0.0,0.95,0.0,1.0,0.0
h5:above;0.83,-0.45,0.0,0.9,0.0,1.0,0.0;on;0.81,-0.3,0.0,0.95,0.0,0.8,0.0
h6:above;0.83,-0.45,0.0,0.9,0.0,1.0,0.0;on;0.81,0.0,0.0,0.3,0.0,1.2,0.0
h7:above;0.83,-0.45,0.0,0.8,0.0,1.0,0.0;on;0.81,0.1,0.0,0.2,0.0,1.0,0.0
h8:above;0.83,-0.45,0.0,0.8,0.0,1.0,0.0;on;0.81,0.2,0.0,0.0,0.0,0.9,0.0
